,ref_point_id,total_area,distance_to_centroid,city,log_distance,log_area
3,3,3530000.144788353,3168.3937327026765,Recklinghausen,8.060980029524375,15.076808469926009
4,4,1726854.9231728183,1796.5299646046187,Recklinghausen,7.493612285849274,14.361812348488908
5,5,1901566.4447069296,909.4364867120184,Recklinghausen,6.812825162327883,14.458188549051508
6,6,1117111.8977586522,4478.6133888997065,Recklinghausen,8.407068766094174,13.926257250078404
7,7,1130418.4540254436,4798.892608123723,Recklinghausen,8.47614046363822,13.938098435436329
8,8,3136608.3907152833,3461.7663533682253,Recklinghausen,8.149534244541352,14.958652643777807
9,9,1989474.7172936345,2054.869242192851,Recklinghausen,7.627967495802682,14.503381200697818
10,10,2157746.4967128355,5614.467918350334,Recklinghausen,8.633102101925617,14.584574946497147
11,11,5508204.474294206,3838.959943398024,Recklinghausen,8.252956760822377,15.521749261288733
12,12,1203245.2501468558,4576.669972896237,Recklinghausen,8.428726932503602,14.00053283963781
13,13,4679033.321847934,3438.442343671003,Recklinghausen,8.142773840746981,15.358602091397676
14,14,1235888.198927998,4695.822502929671,Recklinghausen,8.454428563291389,14.027300458966819
15,15,4144567.435836966,3454.804852319074,Recklinghausen,8.147521251920333,15.237308983044805
16,16,1286697.9789729847,1858.736942221145,Recklinghausen,7.527652472717353,14.067589788466154
17,17,2402265.485430517,1477.0139105454666,Recklinghausen,7.297777700594996,14.691922802338123
18,18,2085794.2292551987,2758.8932112359594,Recklinghausen,7.922584867863261,14.55066026598367
19,19,2444588.4185753865,2698.3546174720773,Recklinghausen,7.90039746529593,14.709387330760034
20,20,4307632.924752031,3335.611891107211,Recklinghausen,8.112411417114501,15.275899105817446
21,21,3746422.893745738,4339.229869382259,Recklinghausen,8.375452161897341,15.136312047698093
22,22,3429861.189572974,2677.193344802527,Recklinghausen,7.89252426534357,15.048030348810958
23,23,1471706.7327879071,1561.1915387605545,Recklinghausen,7.353204615589336,14.20193332797894
24,24,1413614.4228998981,1433.6369950467963,Recklinghausen,7.26796984758441,14.16166040289249
25,25,1211426.3474174363,1951.4407143998221,Recklinghausen,7.576323206656165,14.007309022852839
26,26,578932.8883599368,5208.360101008781,Recklinghausen,8.558020325316972,13.268941840268768
27,27,3699631.9133180697,2377.2123300006024,Recklinghausen,7.773683790253664,15.123743889778694
28,28,2120223.130899966,4287.470729288389,Recklinghausen,8.36345226446276,14.56703189153427
29,29,929170.3279990511,1873.3912523775607,Recklinghausen,7.535505571380954,13.742047346522048
30,30,2550822.8106418727,2514.942259462948,Recklinghausen,7.830005123806253,14.751926535927518
31,31,1882691.9882990648,2767.07416530781,Recklinghausen,7.925545782936142,14.448213219272223
32,32,2854904.69692466,5875.360447967281,Recklinghausen,8.678522689975846,14.864549019402883
33,33,3491264.84285998,2815.5558672471316,Recklinghausen,7.942914987242306,15.065774647678237
34,34,1408923.4374970256,4260.485168755334,Recklinghausen,8.357138322157699,14.158336451219226
35,35,992353.2391116138,3764.3015515950506,Recklinghausen,8.233317612160196,13.807834410696918
36,36,864124.95531429,5064.957158977917,Recklinghausen,8.53010095839981,13.669472661535474
37,37,2200088.2411550065,2677.66715854693,Recklinghausen,7.892701231203033,14.604008027140088
38,38,5968395.148253629,1367.706383532389,Recklinghausen,7.2208904432250005,15.601988629842374
39,39,2055908.598882159,4125.294329516883,Recklinghausen,8.324892648833458,14.53622844877239
40,40,947668.1957471003,2801.9960771160704,Recklinghausen,7.938087326866019,13.76175971548511
41,41,1510450.1881597918,5390.074887803384,Recklinghausen,8.592314557647597,14.227918302211016
42,42,1835023.8405282137,3832.6082633041274,Recklinghausen,8.251300859089088,14.422568031499878
43,43,3060714.3201539475,3070.866594451609,Recklinghausen,8.029715079071213,14.934158884644969
44,44,2985154.939366129,2895.3995871568627,Recklinghausen,7.97087840713406,14.909162209447073
45,45,3076579.6486152443,4439.601872979075,Recklinghausen,8.398319983157876,14.939329034187299
46,46,8608856.52375174,1323.4358673530244,Recklinghausen,7.1879865636385505,15.968302059657534
47,47,2790228.736631253,3904.1493473551736,Recklinghausen,8.269795201759061,14.841634134892653
48,48,2463028.636856871,2673.9521860509212,Recklinghausen,7.891312876444025,14.716902303854765
49,49,2517212.0644276035,365.05152155298197,Recklinghausen,5.900038498560747,14.73866252342003
50,50,2263487.529169823,2397.9282666058984,Recklinghausen,7.7823604212976205,14.632417336308986
51,51,1690875.7723977445,2396.2744077699426,Recklinghausen,7.781670480127465,14.340757161194965
52,52,3768747.0222215876,4016.944360723603,Recklinghausen,8.298276783310806,15.142253149333696
53,53,2955013.8510103677,3216.182670322394,Recklinghausen,8.075950429159153,14.899013896124503
54,54,4934528.938637167,3478.825338219378,Recklinghausen,8.154449969298197,15.411767773130082
0,0,1273147.3285582263,2978.220404346869,Wolfsburg,7.99908122136723,14.057002604195844
1,1,819426.8287618486,6108.537289950769,Wolfsburg,8.717442627425754,13.616360385518687
2,2,3240779.8820267427,4296.236364200782,Wolfsburg,8.365494654274988,14.991324563133114
3,3,637576.1059049354,8633.89222405089,Wolfsburg,9.063450693300762,13.36542893070094
4,4,1843598.3494763898,5907.110457129198,Wolfsburg,8.683912066494043,14.427229844556008
5,5,1654768.1975985263,2234.5729395365393,Wolfsburg,7.711805410282704,14.319171495109718
6,6,2907620.4297123365,2079.1841649048274,Wolfsburg,7.63973086734254,14.882845582882535
7,7,1069458.0922621312,6441.136510116448,Wolfsburg,8.77046028025437,13.882662622316234
8,8,1167758.0594831891,4894.723456093128,Wolfsburg,8.49591305818854,13.970596280060246
9,9,613223.6845746542,6322.803483636568,Wolfsburg,8.751917977967308,13.326485049784857
10,10,1603614.1302175997,3455.6200879081807,Wolfsburg,8.147757195614082,14.287770471271656
11,11,1491088.2881169696,5436.016320125328,Wolfsburg,8.600801777497088,14.215016806022613
12,12,505508.52792108525,8274.27694908594,Wolfsburg,9.020906818673641,13.133320187569572
13,13,829661.3602766573,6823.522282169186,Wolfsburg,8.828131081177224,13.628772896851594
14,14,410044.4373115902,4776.721149609744,Wolfsburg,8.471509638148321,12.924020816494208
15,15,3077856.7474052655,4970.768300715714,Wolfsburg,8.511329694812389,14.939744051493898
16,16,1136073.4410813004,7612.472061280524,Wolfsburg,8.937543241900485,13.94308852501276
17,17,2828386.727626499,2462.887354815049,Wolfsburg,7.809089662123404,14.855217046163558
18,18,3118468.138462265,2615.739152097577,Wolfsburg,7.869301995104541,14.952852457952805
19,19,1099893.3262351737,5195.682956294127,Wolfsburg,8.555583359049386,13.910723756916266
20,20,3295123.5208757333,5044.488805294779,Wolfsburg,8.526051600655721,15.007954212583556
21,21,2233371.8964827782,4746.40767257287,Wolfsburg,8.465143331446766,14.619023062625851
22,22,797247.0640941939,4650.041964739906,Wolfsburg,8.444631523215929,13.58891990232453
23,23,5680068.999763745,1961.498837515422,Wolfsburg,7.581464172998614,15.55247393846928
24,24,2392237.151207118,1689.773570904845,Wolfsburg,7.432349817227658,14.687739532619506
25,25,1523481.7691222886,2899.3788785353026,Wolfsburg,7.972251813219381,14.23650891089212
26,26,659045.2680252416,7702.898354893772,Wolfsburg,8.949351946743871,13.398547503121272
27,27,1206600.8535626626,3302.94452238837,Wolfsburg,8.102569629121477,14.003317752400005
28,28,1120807.6634039506,3629.5209761172046,Wolfsburg,8.196855956048932,13.929560111422628
29,29,2146274.001740258,3484.7688790416723,Wolfsburg,8.15615700221256,14.579243874236829
30,30,852606.1388453022,6019.24379933261,Wolfsburg,8.702716915683874,13.656052983434291
31,31,2068524.3032274079,4267.062233639806,Wolfsburg,8.358680867951529,14.542346014018067
32,32,648111.1543857777,5311.403996636046,Wolfsburg,8.577611485432987,13.381817495169997
33,33,609414.4992673137,7601.305249402378,Wolfsburg,8.93607525487064,13.320253937944031
34,34,904081.629000852,6951.983546008979,Wolfsburg,8.846782300142799,13.714674932865048
35,35,850097.2288812138,7793.9777028500985,Wolfsburg,8.961106625084978,13.65310600884389
36,36,1145675.3177872968,5947.974497275276,Wolfsburg,8.690806019957417,13.951504818302617
37,37,3459055.827628782,4987.480382014231,Wolfsburg,8.514686127759653,15.056506227606574
38,38,1337345.4860660057,2691.3293085827063,Wolfsburg,7.897790517295072,14.106197226642205
39,39,609364.3369033566,7396.136160525953,Wolfsburg,8.908713002359992,13.320171622166145
40,40,483591.59140863875,7607.560870564253,Wolfsburg,8.936897883127777,13.088996010079136
41,41,3731934.3424411966,4435.6080203600895,Wolfsburg,8.397419981256723,15.132437247665242
42,42,334909.98397418787,8400.253979719928,Wolfsburg,9.03601722005526,12.721617070145003
43,43,433584.3038209863,6744.449483205533,Wolfsburg,8.816475146809111,12.979841528777502
44,44,696271.0114233268,7886.054967461611,Wolfsburg,8.97285128467217,13.45349424775511
45,45,1259309.3504303328,6429.973672838528,Wolfsburg,8.768725722796926,14.046073994067882
46,46,970910.721070109,5728.772464515738,Wolfsburg,8.653256557179946,13.785989797701337
47,47,501964.22886473266,5434.36157263446,Wolfsburg,8.600497326719024,13.12628413889338
48,48,1554788.9441779817,2770.943306298108,Wolfsburg,7.926943084999439,14.256850367166967
49,49,629994.6368575057,8328.487641164438,Wolfsburg,9.02743716299512,13.353466585406887
50,50,519182.94207412656,6471.384114421853,Wolfsburg,8.775145292656077,13.160011589583704
51,51,384710.44274076377,8097.043259920429,Wolfsburg,8.999254244381541,12.860246233526015
52,52,3038447.7706771744,5002.87003761389,Wolfsburg,8.517767034259712,14.92685734123001
53,53,4101381.406335472,191.67292324245471,Wolfsburg,5.255790394600581,15.226834403301423
54,54,697811.291069082,7839.40674777813,Wolfsburg,8.966918440555082,13.455703988557014
55,55,1948557.8852818736,4081.900339012533,Wolfsburg,8.314317928327142,14.482600110931584
56,56,1399062.58570683,4585.119060185469,Wolfsburg,8.430571351678495,14.151312988677606
57,57,864790.8448495087,6807.772013372831,Wolfsburg,8.825820181645003,13.670242958814361
58,58,916700.875368895,5993.255897155093,Wolfsburg,8.698390098888343,13.728536498862573
59,59,2640240.8480054038,6214.384889233935,Wolfsburg,8.734622027081185,14.786380701266346
60,60,933256.5985736023,6094.915877979612,Wolfsburg,8.715210240012023,13.746435467283419
0,0,5991889.425785568,3029.9817001622278,Bremerhaven,8.016311858934756,15.60591735036833
1,1,3900948.856530187,3715.415946511808,Bremerhaven,8.220245914952132,15.176730378054271
2,2,3373290.423011721,3946.5147891303905,Bremerhaven,8.280588136545564,15.031399212623507
3,3,519379.8396007903,3906.543237319058,Bremerhaven,8.270408179420873,13.160390762672701
4,4,974361.5559611518,1753.4098610960637,Bremerhaven,7.469317663124107,13.78953772109658
5,5,805140.0564003442,3972.002399413888,Bremerhaven,8.287025629246926,13.598771524373413
6,6,1506361.040102508,2658.5983143708436,Bremerhaven,7.885554313404427,14.225207393074077
7,7,2096743.2119559979,5644.429874421313,Bremerhaven,8.638424474923712,14.55589584742923
8,8,3174434.303859312,3364.8183295334484,Bremerhaven,8.121129252369835,14.970640002421595
9,9,1324837.0383002197,4993.200274433036,Bremerhaven,8.51583232073825,14.096800019876476
10,10,1148214.6728222235,3422.6207617784758,Bremerhaven,8.13816184120877,13.953718835611747
11,11,4130062.6300283857,6649.080473257396,Bremerhaven,8.802233849390937,15.233803129478016
12,12,1280059.7251711618,2702.722586595629,Bremerhaven,7.902014909339324,14.062417295097212
13,13,246601.43845423835,3523.4626014292644,Bremerhaven,8.167199478670522,12.415528702843131
14,14,2425743.655473005,2128.119283043215,Bremerhaven,7.662993902952226,14.701648697393248
15,15,2890677.5516209803,2785.188859059926,Bremerhaven,7.9320709630101,14.877001479537903
